year,id,regionName,Gdp0101,Gdp0102,Gdp0103,Gdp0106,Gdp0113,Gdp0114,Gdp0115,Gdp0116,Ftec0101,Ftec0102,Ftec0103,Ifa0101,Ifa0102,Ifa0104,Pop01,Pop04,Pop05,Pop30,Tpt0101,Tpt0103,Tpt0104,bm,ccnl,egdp,hdmsp,hviirs,viirs,viirsl
1996,510000,四川省,2985.15,1175,1773.41,1266.59,26.8145,40.256,32.9295,3550,373182,175690,197492,1113.17,,,11430,,,1786,2881,101646,61678,,131198.2626,47635918873,233783.6275,,,
1996,120000,天津市,1102.4,70.53,584.43,447.44,6.0316,54.2904,39.6781,11734,954405,465082,489323,438.51,,,948,,,448,526,4264,4181,,170446.1158,25684954966,254498.0039,,,
1996,330000,浙江省,4146.06,609.18,2200.19,1336.69,14.204,53.2924,32.5038,9552,1252851,803918,448933,1611.44,,,4343,,,629,938,34924,29637,,289576.97,63492844922,488347.8235,,,
1996,370000,山东省,5960.42,1200.17,2810.72,1949.53,20.3979,47.3179,32.2842,6746,1616405,918127,698278,1528.5,,,8738,,,1096,2351,57271,56882,,824817.6288,1.05E+11,1330697.725,,,
1996,130000,河北省,3452.97,700.94,1664.61,1087.42,20.2996,48.2081,31.4923,5345,419269,307839,111430,1182.59,,,6484,,,785,3603,54146,51081,,694403.1493,79689530112,1114685.373,,,
1996,230000,黑龙江省,2402.58,465.82,1280.95,655.81,18.7387,53.5963,27.665,6382,244748,108039,136709,568.64,,,3728,,,1311,4943,48987,47794,,455715.0717,68157192963,786962.8549,,,
1996,340000,安徽省,2339.25,665.44,1097.37,576.44,31.9324,35.4498,32.6179,3524,222141,131352,90789,609.79,,,6070,,,704,1821,36182,33285,,203216.1113,38097589719,351697.9137,,,
1996,540000,西藏自治区,64.76,27.15,11.39,26.22,41.859,17.4207,40.7202,2688,17663,2074,15589,29.43,,,244,,,9,,22391,10461,,5842.713916,54260269564,10285.67843,,,
1996,440000,广东省,6519.14,941.73,3269.35,2308.06,13.6832,48.391,37.9258,9139,10991006,5934099,5056907,2363.18,,,6961,,,789,777,89631,76275,,706548.7232,1.46E+11,1134667.361,,,
1996,410000,河南省,3661.18,959.87,1718.98,1004.56,25.797,46.1558,28.0472,3978,196826,123919,72907,1039.41,,,9172,,,1420,2338,50907,47999,,449558.754,64838955310,732727.8706,,,
